"X","Y","year","book_name","bu_acre","prev_crop","rm","stco","whc","sand","silt","clay","om","kwfactor","kffactor","spH","tfactor","gdd_0_500_dayl..s.","gdd_0_500_no_weeks_in_period","gdd_0_500_prcp..mm.day.","gdd_0_500_srad..W.m.2.","gdd_0_500_swe..kg.m.2.","gdd_0_500_tmax..deg.c.","gdd_0_500_tmean..deg.c.","gdd_0_500_tmin..deg.c.","gdd_0_500_vp..Pa.","gdd_1001_1500_dayl..s.","gdd_1001_1500_no_weeks_in_period","gdd_1001_1500_prcp..mm.day.","gdd_1001_1500_srad..W.m.2.","gdd_1001_1500_swe..kg.m.2.","gdd_1001_1500_tmax..deg.c.","gdd_1001_1500_tmean..deg.c.","gdd_1001_1500_tmin..deg.c.","gdd_1001_1500_vp..Pa.","gdd_1501_2000_dayl..s.","gdd_1501_2000_no_weeks_in_period","gdd_1501_2000_prcp..mm.day.","gdd_1501_2000_srad..W.m.2.","gdd_1501_2000_swe..kg.m.2.","gdd_1501_2000_tmax..deg.c.","gdd_1501_2000_tmean..deg.c.","gdd_1501_2000_tmin..deg.c.","gdd_1501_2000_vp..Pa.","gdd_501_1000_dayl..s.","gdd_501_1000_no_weeks_in_period","gdd_501_1000_prcp..mm.day.","gdd_501_1000_srad..W.m.2.","gdd_501_1000_swe..kg.m.2.","gdd_501_1000_tmax..deg.c.","gdd_501_1000_tmean..deg.c.","gdd_501_1000_tmin..deg.c.","gdd_501_1000_vp..Pa.","corn_yield_bu","pct_planted_10","pct_planted_25","pct_planted_50","pct_planted_75","pct_planted_90"
-93.872637,43.098523,2016,"Britt-IA",238.077493400057,"corn",99,19081,32.5753183127255,37.8176811972491,37.6296460965763,24.5526727061747,574.520598180951,0.301777646582638,0.303292312189235,7.45591720565716,4.68399531919618,52866.924,5,116,415.17714,0,22.442858,15.8642868,9.2857154,1157.71448,53847.77,3,134,373.180966666667,0,26.8571433333333,21,15.1428566666667,1739.04766666667,51087.085,4,88,361.942875,0,27.9285725,22.589285,17.2499975,1995.7145,54588.3433333333,3,98,381.5619,0,29.3333333333333,22.8809533333333,16.4285733333333,1883.80966666667,200.3,15,16,18,19,20
-93.872637,43.098523,2016,"Britt-IA",250.840103647885,"soybean",99,19081,32.5753183127255,37.8176811972491,37.6296460965763,24.5526727061747,574.520598180951,0.301777646582638,0.303292312189235,7.45591720565716,4.68399531919618,52866.924,5,116,415.17714,0,22.442858,15.8642868,9.2857154,1157.71448,53847.77,3,134,373.180966666667,0,26.8571433333333,21,15.1428566666667,1739.04766666667,51087.085,4,88,361.942875,0,27.9285725,22.589285,17.2499975,1995.7145,54588.3433333333,3,98,381.5619,0,29.3333333333333,22.8809533333333,16.4285733333333,1883.80966666667,200.3,15,16,18,19,20
-93.809136,43.081154,2016,"Britt-IA",227.14,"soybean",99,19081,32.5753183127255,37.8176811972491,37.6296460965763,24.5526727061747,574.520598180951,0.301777646582638,0.303292312189235,7.45591720565716,4.68399531919618,52866.924,5,116,415.17714,0,22.442858,15.8642868,9.2857154,1157.71448,53847.77,3,134,373.180966666667,0,26.8571433333333,21,15.1428566666667,1739.04766666667,51087.085,4,88,361.942875,0,27.9285725,22.589285,17.2499975,1995.7145,54588.3433333333,3,98,381.5619,0,29.3333333333333,22.8809533333333,16.4285733333333,1883.80966666667,200.3,15,16,18,19,20
-93.572568,43.103875,2016,"Garner-IA",191.5,"corn",99,19081,32.5753183127255,37.8176811972491,37.6296460965763,24.5526727061747,574.520598180951,0.301777646582638,0.303292312189235,7.45591720565716,4.68399531919618,52866.924,5,116,415.17714,0,22.442858,15.8642868,9.2857154,1157.71448,53847.77,3,134,373.180966666667,0,26.8571433333333,21,15.1428566666667,1739.04766666667,51087.085,4,88,361.942875,0,27.9285725,22.589285,17.2499975,1995.7145,54588.3433333333,3,98,381.5619,0,29.3333333333333,22.8809533333333,16.4285733333333,1883.80966666667,200.3,15,16,18,19,20
-93.7422,42.86406,2016,"Kanahwa-IA",216.09,"soybean",99,19197,32.1213655252222,36.0453146913283,37.8135303871659,26.1411549215058,447.606667326606,0.302279924934337,0.302657172583832,7.48887747680493,4.86148531440197,52758.308,5,147,415.81716,0,22.77143,16.071428,9.371429,1193.14292,53716.1166666667,3,125,362.971433333333,0,26.97619,21.22619,15.4761933333333,1779.04766666667,51000.685,4,82,367.3143,0,28.125,22.75,17.375,2008.5715,54489.6,3,80,388.5714,0,29.8809533333333,23.2857133333333,16.6904733333333,1916.19033333333,200.2,15,16,18,19,20
-93.825052,42.572588,2016,"Woolstock-IA",212.14,"soybean",99,19197,32.1213655252222,36.0453146913283,37.8135303871659,26.1411549215058,447.606667326606,0.302279924934337,0.302657172583832,7.48887747680493,4.86148531440197,52758.308,5,147,415.81716,0,22.77143,16.071428,9.371429,1193.14292,53716.1166666667,3,125,362.971433333333,0,26.97619,21.22619,15.4761933333333,1779.04766666667,51000.685,4,82,367.3143,0,28.125,22.75,17.375,2008.5715,54489.6,3,80,388.5714,0,29.8809533333333,23.2857133333333,16.6904733333333,1916.19033333333,200.2,15,16,18,19,20
-93.79642,42.57359,2016,"Clarion-IA",212.6,"soybean",99,19197,32.1213655252222,36.0453146913283,37.8135303871659,26.1411549215058,447.606667326606,0.302279924934337,0.302657172583832,7.48887747680493,4.86148531440197,52758.308,5,147,415.81716,0,22.77143,16.071428,9.371429,1193.14292,53716.1166666667,3,125,362.971433333333,0,26.97619,21.22619,15.4761933333333,1779.04766666667,51000.685,4,82,367.3143,0,28.125,22.75,17.375,2008.5715,54489.6,3,80,388.5714,0,29.8809533333333,23.2857133333333,16.6904733333333,1916.19033333333,200.2,15,16,18,19,20
-93.796045,42.576365,2017,"Woolstock-IA",198,"soybean",99,19197,32.1213655252222,36.0453146913283,37.8135303871659,26.1411549215058,447.606667326606,0.302279924934337,0.302657172583832,7.48887747680493,4.86148531440197,52758.308,5,102,422.30856,0,23.771428,16.785714,9.7999992,1243.42852,53716.1166666667,3,17,395.123833333333,0,29.6904766666667,23.36905,17.04762,1958.09533333333,51000.685,4,74,378.62855,0,26.3392825,20.223215,14.107145,1628.5715,54489.6,3,101,366.019033333333,0,27.6190466666667,21.17857,14.7380966666667,1721.90466666667,206.9,16,17,18,20,21
-103.582051,41.804706,2016,"Gering-NE",258.912272230071,"corn",99,31157,24.5789746311376,49.0221318583175,38.4110443738022,12.5668237678803,119.655290119029,0.426885006989962,0.428293329597905,7.87101942103807,4.86564464254696,52481.826,5,48,456.04572,0,22.514286,14.607144,6.7000004,955.42854,53370.5166666667,3,12,424.228566666667,0,32.0714266666667,23.5,14.9285733333333,1622.857,50753.83,4,60,395.200025,0,31.69643,23.5803575,15.464285,1498.5715,54127.5433333333,3,55,430.933333333333,0,33.2857166666667,24.2976233333333,15.3095233333333,1693.33333333333,161.6,16,17,18,20,21
-103.582051,41.804706,2017,"Gering-NE",264.949268328643,"corn",99,31157,24.5789746311376,49.0221318583175,38.4110443738022,12.5668237678803,119.655290119029,0.426885006989962,0.428293329597905,7.87101942103807,4.86564464254696,52481.826,5,97,433.64572,0,23.171428,15.371426,7.5714278,957.71426,52794.5166666667,3,31,405.4857,0,33.97619,25.5595233333333,17.1428566666667,1828.57166666667,50293.03,3,44,387.504766666667,0,28.5,20.8095266666667,13.1190466666667,1441.90466666667,54061.715,4,43,458.4,0,30.2678575,21.4821425,12.6964275,1385.7145,183.3,16,17,18,20,21
